DOCULECT	LAT	LON	CLS
SOUTHERN_HAZARA_GUJARI	33.9600	72.8800	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Rajasthani,Unclassified
SREMSKI_GURBET_ROMANI	45.3200	20.2200	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Vlax
TALAGANG	32.9200	72.3800	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
TALAGANG_HINDKO	32.9300	72.4200	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
TANGIR_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
TORWALI	34.2500	72.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Kohistani
TRANSHUMANT_SWAT_GUJARI	34.6900	72.2300	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Rajasthani,Unclassified
URDU	25.0000	67.0000	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,WesternHindi,Hindustani
URSARI_ROMANI	44.5000	28.6500	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Balkan
USHOJO	35.1500	72.7500	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
USHU_KHOWAR	35.5000	72.6300	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Chitral
VEDDA	7.0000	81.0000	Indo-European,Indo-Iranian,Indo-Aryan,Sinhalese-Maldivian
VLAX_ROMANI	45.0000	21.0000	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Vlax
WAD_PAGGA	30.6800	72.2800	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
WAD_PAGGA_HINDKO	34.0600	71.6700	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
WESTERN_PANJABI_SHAHPUR	32.2700	72.4700	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
ZUGUNUK_KALASHA	35.4900	71.7000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Chitral
