ISO	NAME	LAT	LON	ETHNOLOGUE	GLOTTOLOG
zin	ZINZA_2	-2.00	31.70	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,J,Haya-Jita(E.23)	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,GreatLakesBantu,WestNyanza
bjg	BIJOGO	11.33	-16.00	Niger-Congo,Atlantic-Congo,Atlantic,Bijago	Atlantic-Congo,North-CentralAtlantic,CentralAtlantic
abn	ABUA	4.91	6.69	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,CentralDelta,Abua-Odual	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,CentralDelta,Abua-Odual
anw	ANAANG	5.00	7.58	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Efik	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross,CentralLowerCross,Efik-Ibibio
bvj	BAN_OGOI	4.67	7.30	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,Ogoni,West	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,Ogonoid,WestOgonoid
bkv	BEKWARRA	6.75	8.92	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,Bendi	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,Bendic
bky	BOKI	6.25	9.00	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,Bendi	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,Bendic
ebg	EBUGHU	4.83	8.00	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Ebughu	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross
efa	EFAI	4.58	8.25	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Efai	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross,CentralLowerCross
efi	EFIK	4.92	8.50	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Efik	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross,CentralLowerCross,Efik-Ibibio
eke	EKIT	4.75	7.92	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Ekit	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross,CentralLowerCross,Ekit-Etebi
elm	ELEME	4.75	7.25	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,Ogoni,West	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,Ogonoid,WestOgonoid
enw	ENWANG	4.75	8.25	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Enwang-Uda	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross,Enwang-Uda
etb	ETEBI	4.75	8.00	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Ekit	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross,CentralLowerCross,Ekit-Etebi
gkn	GOKANA	4.58	7.33	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,Ogoni,East	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,Ogonoid,EastOgonoid
ibb	IBIBIO_1	5.25	7.83	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Efik	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross,CentralLowerCross,Efik-Ibibio
ibn	IBINO	4.58	8.17	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Ibino	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross
ibr	IBUORO	5.50	7.92	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Ibuoro	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross,CentralLowerCross,Ibuoro-Nkari
iki	IKO	4.58	8.00	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Iko	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross
ilv	ILUE	4.83	8.25	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Ilue	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross
itm	ITUMBUSO	5.50	7.83	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Ibuoro	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross,CentralLowerCross,Ibuoro-Nkari
ogo	KANA	4.75	7.42	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,Ogoni,East	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,Ogonoid,EastOgonoid,Tai-Kana
bcs	KOHUMONO	6.03	8.20	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,UpperCross,Central,North-South,Ubaghara-Kohumono,Kohumono	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,UpperCross,CentralUpperCross,North-SouthCentralDeltaCross,Ubaghara-Kohumono,Kohumonoic
mfn	MBEMBE	6.08	8.42	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,UpperCross,Central,East-West,Mbembe-Legbo,Mbembe	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,UpperCross,CentralUpperCross,East-WestCentralDeltaCross,Mbembe-Legbo
ann	OBOLO	4.58	7.83	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross,Oboloic
ogu	OGBRONUAGUM	4.75	6.87	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,CentralDelta	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,CentralDelta,Kugboic
okb	OKOBO	5.00	8.08	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Okobo	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross
orx	ORO	4.92	8.08	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Oro	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross
tkq	TEE	4.75	7.42	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,Ogoni,East	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,Ogonoid,EastOgonoid,Tai-Kana
uda	UDA	4.70	8.05	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Enwang-Uda	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross,Enwang-Uda
